INTL_20160320_000001	+1 Entrada extra a instancias de misiones y mazmorras
INTL_20160320_000002	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor por 30 días. Click derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender 2 atributos de manera simultánea{nl} - Reduce Impuesto del Mercado (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar 5 objetos en el mercado{nl} - Velocidad de movimiento aumentada en +3{nl} - +30% de EXP por cazar monstruos{nl} - Puedes usar Gestos Premium{nl}- Puedes realizar Intercambios Personales hasta 30 veces{nl}- 1 Entrada extra a Instancias de misiones y mazmorras{nl}
INTL_20160320_000003	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor por 30 días. Click derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender 2 atributos de manera simultánea{nl} - Reduce Impuesto del Mercado (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar 5 objetos en el mercado{nl} - Velocidad de movimiento aumentada en +3{nl} - +30% de EXP por cazar monstruos{nl} - Puedes usar Gestos Premium{nl}- Puedes realizar Intercambios Personales hasta 60 veces{nl}- 1 Entrada extra a Instancias de misiones y mazmorras{nl}
INTL_20160323_000004	- Puedes aprender 2 atributos de manera simultánea{nl} - Reduce Impuesto del Mercado (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar 5 objetos en el mercado{nl} - velocidad de movimiento aumentada en +3{nl} - Puedes realizar intercambios hasta 30 veces{nl}
INTL_20160326_000005	Otorga beneficios de Token Premium para todos tus personajes en éste servidor por 60 días. Click derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender 2 atributos de manera simultánea{nl} - Reduce Impuesto del Mercado (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar 5 objetos en el mercado{nl} - Velocidad de movimiento aumentada en +3{nl} - +30% de EXP por cazar monstruos{nl}(Acumulable con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumenta la cantidad de Buff que puedes recibir{nl} - Puedes realizar Intercambios Personales hasta 60 veces
INTL_20160326_000006	Token Premium: 30 Días
INTL_20160329_000007	Caja de Pergaminos para Encantar x10
INTL_20160329_000008	Contiene 10 Pergaminos para Encantar. Click derecho para usar.
INTL_20160329_000009	Caja de Megáfonos x10
INTL_20160329_000010	Contiene 10 Megáfonos. Click derecho para usar.
INTL_20160419_000011	Úsalo para obtener 455 TP.
INTL_20160419_000012	Úsalo para obtener 266 TP.
INTL_20160419_000013	Úsalo para obtener 112 TP.
INTL_20160419_000014	Click derecho para obtener los siguientes objetos:{nl} - 455 TP{nl} - Token Premium (60 Días){nl} - Accesorio de Cabello - Muñeco Popoleón{nl} - Accesorio de Cabello - Muñeco Hanaming{nl} - Ticket de Hoglan Acompañante{nl} - Poción para restablecer Estadísticas{nl} - Poción para restablecer Habilidades{nl}
INTL_20160419_000015	Click derecho para obtener los siguientes objetos:{nl} - 266 TP{nl} - Token Premium (30 Días){nl} - Accesorio de Cabello - Muñeco Popoleón{nl}
INTL_20160425_000016	Aplica Beneficios de Token a todos tus personajes por 60 días. Click derecho para usar.{nl}[Token Benefits]{nl} - Puedes aprender atributos instantáneamente{nl} - Reduce Impuesto del Mercado (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar 5 objetos en el mercado{nl} - Velocidad de movimiento aumentada en +3{nl} - +20% de EXP por cazar monstruos{nl} - Puedes usar gestos Premium{nl} - Aumenta la cantidad de Buff que puedes recibir{nl} - Puedes realizar Intercambios Personales hasta 60 veces
INTL_20160425_000017	Aplica Beneficios de Token a todos tus personajes por 30 días. Click derecho para usar.{nl}[Token Benefits]{nl} - Puedes aprender atributos instantáneamente{nl} - Reduce Impuesto del Mercado (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar 5 objetos en el mercado{nl} - Velocidad de movimiento aumentada en +3{nl} - +30% de EXP por cazar monstruos{nl} - Puedes usar gestos Premium{nl} - Aumenta la cantidad de Buff que puedes recibir{nl} - Puedes realizar Intercambios Personales hasta 30 veces{nl} - 1 Entrada extra a Instancias de misiones y mazmorras
INTL_20160425_000018	Aplica Beneficios de Token a todos tus personajes por 60 días. Click derecho para usar.{nl}[Token Benefits]{nl} - Puedes aprender atributos instantáneamente{nl} - Reduce Impuesto del Mercado (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar 5 objetos en el mercado{nl} - Velocidad de movimiento aumentada en +3{nl} - +30% de EXP por cazar monstruos{nl} - Puedes usar gestos Premium{nl} - Aumenta la cantidad de Buff que puedes recibir{nl} - Puedes realizar Intercambios Personales hasta 60 veces{nl} - 1 Entrada extra a Instancias de misiones y mazmorras
