UI_20150317_000001	{@st41b}Aprende atributos{nl}desde el maestro de cada clase.{/}
UI_20150317_000002	{@st43}Lista de Atributos {/}
UI_20150317_000003	{@st59}Cerrar{/}
UI_20150317_000004	{@st43}Aprender Atributos{/}
UI_20150317_000005	{@st59}Cerrar{/}
UI_20150317_000006	{@st41b}Plata{/}
UI_20150317_000007	Mis Logros
UI_20150317_000008	Ranking del Servidor
UI_20150317_000009	{@st59}Un evento inesperado está disponible.{/}
UI_20150317_000010	{@st59}Hay un nuevo mensaje de Ayuda{/}
UI_20150317_000011	{@st41}¿Estas seguro que quieres crear este tipo de flecha?{/}
UI_20150317_000012	{@st41b}Una vez{/}
UI_20150317_000013	{@st41b}Todo{/}
UI_20150317_000014	{@st41b}Pausa{/}
UI_20150317_000015	{@st43}Diario de Aventuras{/}
UI_20150317_000016	{@st43}Casa de Subastas{/}
UI_20150317_000017	{@st59}Cerrar{/}
UI_20150317_000018	{@st41b}Objetos Vendidos : ×%s, Objetos no Vendidos : ×%s{/}
UI_20150317_000019	{@st43}{s22}Casa de Subastas{/}
UI_20150317_000020	{@st59}Cerrar{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}Tiempo restante
UI_20150317_000023	3 horas 16 minutos
UI_20150317_000024	{@st41b}Precio Inicial
UI_20150317_000025	{@st41b}Pujas
UI_20150317_000026	{@st41b}Precio Actual
UI_20150317_000027	{@st41b}Precio de Subasta
UI_20150317_000028	{@st41b}Puja mínima por {@st57}%s{@st41b}Plata{/}
UI_20150317_000029	{@st41b}Puja{/}
UI_20150317_000030	{@st43b}¡Comprar ahora!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Opciones de Permisos{/}
UI_20150317_000032	{@st45}Nombre: %s{/}
UI_20150317_000033	{@st45}Inventario de Party{/}
UI_20150317_000034	{@st49}Ninguna
UI_20150317_000035	{@st49}Almacenar
UI_20150317_000036	{@st49}Retirar
UI_20150317_000037	{@st45}Encuesta{/}
UI_20150317_000038	{@st49}Crear
UI_20150317_000039	{@st49}Borrar
UI_20150317_000040	{@st44}Guardar{/}
UI_20150317_000041	{@st44}Cancelar{/}
UI_20150317_000042	{@st43}{s22}Tienda de Peinados{/}
UI_20150317_000043	{@st59}Anterior Peinado{/}
UI_20150317_000044	{@st59}Siguiente Peinado{/}
UI_20150317_000045	{@st41b} Cambiar {s18} (100 iCoins required) {/}
UI_20150317_000046	{@st59}Cambiar al peinado selecionado.{/}
UI_20150317_000047	{@st41}Cancelar
UI_20150317_000048	{@st43}Mercado Negro{/}
UI_20150317_000049	Nombre de Libro
UI_20150317_000050	{@St59}Parar de Leer{/}
UI_20150317_000051	{@st59}Página Anterior{/}
UI_20150317_000052	{@st59}Siguiente Página{/}
UI_20150317_000053	¡{@st47}%s apareció!
UI_20150317_000054	{@st43}Puntuación{/}
UI_20150317_000055	Daño Recibido
UI_20150317_000056	Bonus de Técnica
UI_20150317_000057	Bonus de Evasión
UI_20150317_000058	Tiempo en Completar.
UI_20150317_000059	Puntuación Total
UI_20150317_000060	{@st42}Tiempo Transcurrido
UI_20150317_000061	10 minutos
UI_20150317_000062	10 segundos
